food,serving,grams,calories
Mostaccioli,5.6 oz. (56 g),156,282
Capricciosa Pizza,0.0 slice (74 g),289,793
Barley,0.0 cup (157 g),613,1997
Lychee,0.0 lychee (10 g),27,16
Pretzel Sticks,50.3 sticks (12 g),33,128
Spinach Tortellini,2.8 cup (102 g),284,958
Black Olives,2.8 olive (2.7 g),75,2
Capricciosa Pizza,0.0 slice (74 g),206,486
Dairy Milk McFlurry,3.9 mcflurry (183 g),715,1395
Kiwi,3.4 liwi (183 g),623,377
Pad Thai,0.0 cup (250 g),851,1389
Chicken Marsala,0.0 serving (2301 g),8994,7849
Italian BMT,0.0 sandwich (224 g),875,1747
Palm Kernel Oil,3.4 tbsp (14 ml),47,408
Barley,3.4 cup (157 g),534,2029
Dates,3.4 date (7.1 g),241,71
Kiwi,3.9 liwi (183 g),715,433
Spaetzle,3.9 oz. (56 g),218,770
Mostaccioli,7.8 oz. (56 g),218,367
Sapodilla,3.9 sapodilla (170 g),664,519
Corn Oil,3.9 tbsp (15 ml),58,445
Cherries,2.8 cherry (8 g),22,8
Corn Oil,2.8 tbsp (15 ml),41,321
Cappelletti,7.8 oz. (56 g),218,324
Buffalo Chicken Pizza,3.4 slice (238 g),810,1859
Blood Oranges,0.0 serving (140 g),476,214
McDonald’s Chicken Nuggets,2.8 nugget (16 g),44,145
Cappelletti,6.8 oz. (56 g),190,282
Falafel,2.8 patty (17 g),47,150
Lychee,0.0 lychee (10 g),34,20
Grapes,3.9 cup (151 g),590,390
McDonald’s Chicken Nuggets,0.0 nugget (16 g),62,171
Jambalaya,0.0 cup (250 g),698,681
Cherries,0.0 cherry (8 g),31,11
Casaba Melon,0.0 wedge (125 g),425,115
Glass Noodles,2.8 oz. (56 g),156,276
Spaetzle,6.8 oz. (56 g),190,674
Asparagus,0.0 spear (12 g),46,7
Green Beans,3.9 cup (110 g),429,125
Pad Thai,0.0 cup (250 g),977,1399
Barley,3.9 cup (157 g),613,2044
Green Beans,3.9 cup (110 g),429,136
Green Beans,0.0 cup (110 g),429,136
Barley,3.4 cup (157 g),534,2039
Blood Oranges,0.0 serving (140 g),547,269
Palm Kernel Oil,3.9 tbsp (14 ml),54,433
Arby’s Grand Turkey Club,0.0 sandwich (233 g),793,1654
Tarte Flambée,0.0 square (56 g),190,463
Corn Oil,2.8 tbsp (15 ml),41,318
Mandarin Oranges,0.0 mandarin orange (88 g),343,195
Pretzel Sticks,64.7 sticks (12 g),40,163
Beef Pizza,3.9 slice (235 g),918,2740
Guava,3.4 guava (55 g),187,119
Pretzel Sticks,61.3 sticks (12 g),40,156
Dim Sum,0.0 piece (19 g),74,144
Jambalaya,2.8 cup (250 g),698,684
Asparagus,2.8 spear (12 g),33,5
Capsicum,0.0 pepper (45 g),153,40
McDonald’s Chicken Nuggets,0.0 nugget (16 g),62,195
Black Olives,3.4 olive (2.7 g),91,6
Guava,2.8 guava (55 g),153,103
Sicilian Pizza,0.0 slice (133 g),371,894
Fajita,3.9 serving (248 g),969,1203
Spaetzle,5.6 oz. (56 g),156,617
Falafel,3.9 patty (17 g),66,211
Black Olives,0.0 olive (2.7 g),91,3
Buffalo Chicken Pizza,0.0 slice (238 g),930,2333
Sapodilla,2.8 sapodilla (170 g),474,371
Dates,0.0 date (7.1 g),198,50
Dim Sum,0.0 piece (19 g),74,128
Black Olives,0.0 olive (2.7 g),75,2
Guava,3.9 guava (55 g),214,148
Cappelletti,3.4 oz. (56 g),190,282
Asparagus,2.8 spear (12 g),33,2
Kiwi,0.0 liwi (183 g),511,321
Beef Pizza,2.8 slice (235 g),656,1972
Green Beans,3.9 cup (110 g),429,132
Cappelletti,5.6 oz. (56 g),156,231
Tamarind,3.9 tamarind (2 g),7,19
Dates,0.0 date (7.1 g),277,70
