food,serving,grams,calories
Barley,2.2 cup (157 g),346.21,1010.51
Sapodilla,4.9 sapodilla (170 g),833.16,4701.33
Corn Oil,4.1 tbsp (15 ml),81.1,436.22
Asparagus,1.5 spear (12 g),16.37,61.06
Cherries,4.0 cherry (8 g),31.82,50.52
Corn Oil,1.4 tbsp (15 ml),29.15,93.73
Pretzel Sticks,42.0 sticks (12 g),505.9,782.16
Dairy Milk McFlurry,3.8 mcflurry (183 g),697.06,2194.47
Jambalaya,2.4 cup (250 g),600.59,4082.28
Glass Noodles,2.8 oz. (56 g),156.51,277.23
Kiwi,3.2 liwi (183 g),585.38,4628.13
Mostaccioli,3.9 oz. (56 g),218.33,1164.7
Glass Noodles,3.2 oz. (56 g),178.12,1381.62
Mostaccioli,7.7 oz. (56 g),432.77,2410.4
Falafel,4.0 patty (17 g),68.63,109.5
Pretzel Sticks,41.3 sticks (12 g),495.5,2178.17
Corn Oil,1.8 tbsp (15 ml),35.91,144.64
Beef Pizza,5.3 slice (235 g),1245.19,9967.11
Dairy Milk McFlurry,5.6 mcflurry (183 g),1024.27,5342.6
Corn Oil,3.0 tbsp (15 ml),58.48,514.32
Black Olives,3.1 olive (2.7 g),6.61,9.25
Corn Oil,2.3 tbsp (15 ml),47.87,213.64
Green Beans,2.9 cup (110 g),318.98,1578.53
Mostaccioli,10.0 oz. (56 g),559.02,1787.75
Asparagus,1.4 spear (12 g),15.99,108.57
Buffalo Chicken Pizza,1.8 slice (238 g),430.24,2598.39
Kiwi,2.4 liwi (183 g),440.78,3051.26
Mostaccioli,6.2 oz. (56 g),348.67,1194.56
Green Beans,2.6 cup (110 g),285.74,1541.47
Kiwi,2.8 liwi (183 g),513.77,3407.39
