food,serving,grams,calories
Barley,3.3 cup (157 g),516.15,4610.84
Corn Oil,3.8 tbsp (15 ml),76.4,341.98
Jambalaya,1.8 cup (250 g),450.85,2712.75
Dates,3.9 date (7.1 g),28.01,222.28
Green Beans,5.5 cup (110 g),605.61,3260.3
Cappelletti,6.2 oz. (56 g),346.85,2804.85
Beef Pizza,2.3 slice (235 g),540.02,3707.5
Mostaccioli,7.1 oz. (56 g),396.67,1904.04
Green Beans,4.0 cup (110 g),439.91,2659.87
Glass Noodles,2.8 oz. (56 g),156.51,277.23
Pretzel Sticks,49.3 sticks (12 g),591.98,1152.72
Kiwi,2.8 liwi (183 g),513.77,3407.39
Corn Oil,1.4 tbsp (15 ml),29.15,93.73
Corn Oil,5.1 tbsp (15 ml),102.26,205.15
Barley,4.2 cup (157 g),659.61,4584.5
McDonald’s Chicken Nuggets,3.1 nugget (16 g),48.13,120.66
Buffalo Chicken Pizza,2.0 slice (238 g),475.6,1526.33
Spaetzle,3.7 oz. (56 g),206.19,361.05
Corn Oil,1.8 tbsp (15 ml),35.91,144.64
Asparagus,1.5 spear (12 g),16.37,61.06
Corn Oil,2.6 tbsp (15 ml),53.44,199.28
Barley,2.5 cup (157 g),391.63,504.43
Buffalo Chicken Pizza,1.8 slice (238 g),430.24,2598.39
Cappelletti,6.2 oz. (56 g),346.5,355.2
Kiwi,4.1 liwi (183 g),748.9,2283.09
Spaetzle,5.5 oz. (56 g),309.38,2068.65
Kiwi,3.2 liwi (183 g),585.38,4628.13
Palm Kernel Oil,4.7 tbsp (14 ml),92.99,190.44
Corn Oil,3.6 tbsp (15 ml),73.59,90.89
Black Olives,3.1 olive (2.7 g),6.61,9.25
Corn Oil,3.0 tbsp (15 ml),58.48,514.32
Dairy Milk McFlurry,3.8 mcflurry (183 g),697.06,2194.47
Pretzel Sticks,67.6 sticks (12 g),812.99,2842.89
Jambalaya,3.2 cup (250 g),800.33,2439.6
Grapes,4.8 cup (151 g),722.85,3165.11
Pretzel Sticks,44.2 sticks (12 g),529.21,598.24
Green Beans,2.9 cup (110 g),318.98,1578.53
Glass Noodles,2.1 oz. (56 g),115.8,691.11
Spaetzle,3.8 oz. (56 g),211.46,589.3
Cherries,4.1 cherry (8 g),34.09,208.89
Black Olives,3.5 olive (2.7 g),10.01,56.18
Beef Pizza,3.0 slice (235 g),705.76,3125.45
Cappelletti,6.8 oz. (56 g),379.39,783.34
Cappelletti,7.1 oz. (56 g),397.92,1455.19
Palm Kernel Oil,3.7 tbsp (14 ml),75.87,473.03
Barley,4.5 cup (157 g),707.92,2922.99
Green Beans,3.5 cup (110 g),383.29,2584.11
Palm Kernel Oil,2.0 tbsp (14 ml),40.28,266.06
Cappelletti,8.2 oz. (56 g),458.16,3294.08
Corn Oil,3.0 tbsp (15 ml),59.73,332.83
Sapodilla,2.1 sapodilla (170 g),358.35,2196.76
Sapodilla,4.9 sapodilla (170 g),833.16,4701.33
Guava,3.3 guava (55 g),181.36,1568.65
Falafel,2.0 patty (17 g),35.44,39.94
Spinach Tortellini,3.6 cup (102 g),365.95,1213.86
Asparagus,1.4 spear (12 g),15.99,108.57
Black Olives,1.6 olive (2.7 g),3.17,8.02
Kiwi,2.5 liwi (183 g),457.88,1714.08
Spinach Tortellini,3.9 cup (102 g),395.94,2500.33
Green Beans,4.3 cup (110 g),472.01,1975.45
Kiwi,3.8 liwi (183 g),694.42,3787.27
Spaetzle,5.9 oz. (56 g),328.68,753.39
Glass Noodles,2.1 oz. (56 g),119.04,278.29
Kiwi,4.8 liwi (183 g),879.01,5319.64
Kiwi,2.4 liwi (183 g),440.78,3051.26
Asparagus,2.9 spear (12 g),33.64,101.68
Pretzel Sticks,41.3 sticks (12 g),495.5,2178.17
Mostaccioli,7.7 oz. (56 g),432.77,2410.4
Black Olives,3.2 olive (2.7 g),8.13,14.88
Beef Pizza,5.3 slice (235 g),1245.19,9967.11
Corn Oil,4.2 tbsp (15 ml),85.23,447.56
Pretzel Sticks,88.5 sticks (12 g),1061.4,8779.43
Kiwi,4.4 liwi (183 g),803.3,4511.83
Guava,4.4 guava (55 g),241.97,666.22
Palm Kernel Oil,3.1 tbsp (14 ml),62.29,151.73
Black Olives,4.6 olive (2.7 g),10.66,11.55
Pretzel Sticks,42.0 sticks (12 g),505.9,782.16
Sapodilla,5.7 sapodilla (170 g),967.97,5509.13
Barley,3.8 cup (157 g),595.64,4121.61
Corn Oil,2.1 tbsp (15 ml),41.53,107.32
McDonald’s Chicken Nuggets,2.2 nugget (16 g),34.35,181.94
Jambalaya,2.4 cup (250 g),600.59,4082.28
Green Beans,2.6 cup (110 g),285.74,1541.47
Dairy Milk McFlurry,5.0 mcflurry (183 g),916.29,4752.19
Barley,2.1 cup (157 g),328.19,733.44
Spaetzle,2.4 oz. (56 g),135.76,208.49
Barley,3.7 cup (157 g),582.58,1147.41
Beef Pizza,4.3 slice (235 g),1010.07,5507.74
Mostaccioli,3.2 oz. (56 g),178.47,408.9
Falafel,2.0 patty (17 g),33.04,282.72
Grapes,5.8 cup (151 g),876.32,3575.23
Palm Kernel Oil,2.6 tbsp (14 ml),52.85,135.22
Pretzel Sticks,50.9 sticks (12 g),610.78,4754.07
Barley,2.7 cup (157 g),422.42,688.56
Pretzel Sticks,81.1 sticks (12 g),972.63,5973.51
Falafel,2.6 patty (17 g),43.14,199.36
Mostaccioli,3.9 oz. (56 g),218.33,1164.7
Spaetzle,4.9 oz. (56 g),276.27,1632.56
Palm Kernel Oil,4.9 tbsp (14 ml),96.84,166.13
Black Olives,2.8 olive (2.7 g),7.25,38.29
Black Olives,3.0 olive (2.7 g),7.85,60.37
Green Beans,5.7 cup (110 g),625.81,4738.43
Spinach Tortellini,1.7 cup (102 g),172.52,1346.84
McDonald’s Chicken Nuggets,4.1 nugget (16 g),64.81,102.42
Cherries,4.0 cherry (8 g),31.82,50.52
Corn Oil,2.3 tbsp (15 ml),47.87,213.64
Barley,4.4 cup (157 g),689.64,4297.62
Cappelletti,3.8 oz. (56 g),212.55,1012.07
Pretzel Sticks,57.1 sticks (12 g),686.45,6068.77
Cherries,3.1 cherry (8 g),26.16,120.42
Sapodilla,2.5 sapodilla (170 g),425.16,2241.82
Green Beans,5.4 cup (110 g),592.06,988.27
Pretzel Sticks,44.0 sticks (12 g),529.78,757.08
Dates,2.8 date (7.1 g),19.5,83.58
Dates,3.3 date (7.1 g),24.46,175.94
Jambalaya,3.5 cup (250 g),874.42,7320.95
Barley,3.9 cup (157 g),611.87,4940.33
Guava,5.1 guava (55 g),280.58,1489.44
Mostaccioli,10.0 oz. (56 g),559.02,1787.75
Spaetzle,2.9 oz. (56 g),163.08,268.05
McDonald’s Chicken Nuggets,3.0 nugget (16 g),48.71,183.49
Spaetzle,3.8 oz. (56 g),214.69,1405.67
Guava,2.9 guava (55 g),158.34,894.57
Pretzel Sticks,53.7 sticks (12 g),644.05,2303.04
Dairy Milk McFlurry,5.6 mcflurry (183 g),1024.27,5342.6
Barley,2.2 cup (157 g),346.21,1010.51
Cappelletti,5.0 oz. (56 g),281.63,297.79
Palm Kernel Oil,3.2 tbsp (14 ml),64.95,502.09
Mostaccioli,10.1 oz. (56 g),566.42,5023.89
Spinach Tortellini,3.5 cup (102 g),357.17,1686.98
Black Olives,4.1 olive (2.7 g),9.67,55.11
Mostaccioli,6.2 oz. (56 g),348.67,1194.56
Grapes,3.1 cup (151 g),467.18,635.88
Asparagus,3.2 spear (12 g),39.19,157.6
Palm Kernel Oil,2.0 tbsp (14 ml),39.75,313.66
Falafel,4.0 patty (17 g),68.63,109.5
Cherries,3.6 cherry (8 g),27.1,235.72
Mostaccioli,8.4 oz. (56 g),469.76,789.55
Barley,4.0 cup (157 g),628.11,3292.23
Corn Oil,4.1 tbsp (15 ml),81.1,436.22
Buffalo Chicken Pizza,2.7 slice (238 g),641.84,3081.29
Grapes,5.1 cup (151 g),770.59,1808.23
Buffalo Chicken Pizza,3.6 slice (238 g),856.25,4007.32
Dates,3.0 date (7.1 g),22.1,30.87
Glass Noodles,3.2 oz. (56 g),178.12,1381.62
Pretzel Sticks,75.2 sticks (12 g),904.15,7331.69
Cappelletti,4.9 oz. (56 g),273.68,285.07
Dairy Milk McFlurry,3.6 mcflurry (183 g),656.84,4258.07
